id,name,slug,party_key,party_label,chamber,constituency,photo_url,source_url,active,review_status
sen-abrudean-mircea,ABRUDEAN Mircea,abrudean-mircea,PNL,PNL,Senat,Circumscripţia electorală nr.13 Cluj,/photos/portraits/sen-abrudean-mircea.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7ff0cd22-7bbb-4ca8-ada1-0473697459bd,true,approved
sen-aldea-valentina-mariana,ALDEA Valentina-Mariana,aldea-valentina-mariana,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-aldea-valentina-mariana.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=aaa971e5-5110-4c5f-98f5-07c6ee365a1e,true,approved
sen-alexandru-victoria-violeta,ALEXANDRU Victoria-Violeta,alexandru-victoria-violeta,USR,USR,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-alexandru-victoria-violeta.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=4d812c2c-fa19-4834-b1f1-08fedc72161d,true,approved
sen-anghel-razvan-paul,ANGHEL Razvan-Paul,anghel-razvan-paul,USR,USR,Senat,Circumscripţia electorală nr.02 Arad,/photos/portraits/sen-anghel-razvan-paul.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e4673fd9-34fd-4b0d-8019-092771f2537e,true,approved
sen-anisie-monica-cristina,ANISIE Monica-Cristina,anisie-monica-cristina,PNL,PNL,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-anisie-monica-cristina.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dad3c5ee-3157-410a-85ff-094a63524104,true,approved
sen-antal-istvan-lorant,ANTAL István-Loránt,antal-istvan-lorant,UDMR,UDMR,Senat,Circumscripţia electorală nr.21 Harghita,/photos/portraits/sen-antal-istvan-lorant.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=de52f6df-260b-4042-9a60-095a0dbfe661,true,approved
sen-barcari-dorina,BARCARI Dorina,barcari-dorina,AUR,AUR,Senat,Circumscripţia electorală nr.08 Braşov,/photos/portraits/sen-barcari-dorina.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=edf20da3-a851-4622-b534-0b3d833a51b9,true,approved
sen-bem-cristian,BEM Cristian,bem-cristian,PACE,PACE,Senat,Circumscripţia electorală nr.39 Vaslui,/photos/portraits/sen-bem-cristian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=00aee4d2-ea00-4484-9a67-0c2f8a0459f8,true,approved
sen-bica-andra,BICĂ Andra,bica-andra,PSD,PSD,Senat,Circumscripţia electorală nr.40 Vâlcea,/photos/portraits/sen-bica-andra.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b9c904e7-969f-4126-b0e1-0ebd3a003cc5,true,approved
sen-blaga-vasile,BLAGA Vasile,blaga-vasile,PNL,PNL,Senat,Circumscripţia electorală nr.37 Timiş,/photos/portraits/sen-blaga-vasile.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=33d88102-6e65-4934-9ecf-10102445c2c4,true,approved
